method,problem,dim,bootstrap_arq_iters,delta,stagnationtrigger,runs,mean_f,stdev_f,min_f,mean_evals,stdev_evals,success_rate
arq2,tersoffc,24,2.000,0.250,18.000,30,-33.0000327177,0.6044216542,-34.1341955790,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.250,18.000,30,-32.7076597392,0.5522780838,-33.8976057859,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.250,18.000,30,-33.0214924062,0.5202498844,-33.7965442414,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.250,18.000,30,-33.0027388652,0.5346706353,-33.8066163489,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.050,24.000,30,-32.8563705219,0.6014222477,-33.9648801132,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.050,24.000,30,-33.0331756039,0.5140644717,-34.0670996753,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.050,24.000,30,-32.7998216045,0.6561076024,-34.2476321133,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.050,24.000,30,-32.7060625250,0.6772130079,-33.6481978822,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.050,24.000,30,-32.8914398077,0.5778956844,-33.9301788954,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,1.000,0.100,24.000,30,-32.8573981995,0.6001396820,-33.9648801132,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,2.000,0.100,24.000,30,-32.9965318399,0.5516633680,-34.0670996753,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,3.000,0.100,24.000,30,-32.7998216045,0.6561076024,-34.2476321133,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,5.000,0.100,24.000,30,-32.7060625250,0.6772130079,-33.6481978822,150000.0000000000,0.0000000000,100.000
arq2,tersoffc,24,8.000,0.100,24.000,30,-32.8907103638,0.5775070127,-33.9301788954,150000.0000000000,0.0000000000,100.000
